fold_id,train_acc,train_f1_weighted,train_f1_macro,val_acc,val_f1_weighted,val_f1_macro,test_acc,test_f1_weighted,test_f1_macro,test_loss,test_F1_Wake,test_F1_N1,test_F1_N2,test_F1_N3,test_F1_REM
fold_0,0.8864,0.8823,0.8254,0.8816,0.8783,0.8166,0.863,0.8611,0.7455,0.3859,0.8835,0.1731,0.8754,0.9516,0.8437
fold_1,0.8711,0.8687,0.8027,0.8066,0.8089,0.7642,0.8733,0.8725,0.8146,0.3417,0.9188,0.5034,0.9241,0.9091,0.8177
fold_2,0.892,0.8852,0.8169,0.7968,0.7969,0.6837,0.7528,0.7371,0.6646,0.6328,0.7552,0.2787,0.864,0.7034,0.7219
fold_3,0.8915,0.8887,0.8322,0.8542,0.8532,0.7839,0.6923,0.6968,0.5881,0.9594,0.7793,0.1538,0.6967,0.7199,0.5907
fold_4,0.8854,0.8852,0.8259,0.8871,0.879,0.8209,0.851,0.8549,0.7942,0.3727,0.9023,0.4863,0.8265,0.9217,0.834
fold_5,0.9263,0.9247,0.8777,0.8398,0.8365,0.7535,0.8479,0.8341,0.7504,0.4847,0.8773,0.2612,0.9126,0.9381,0.7628
fold_6,0.8797,0.8807,0.8201,0.8764,0.8745,0.7918,0.8434,0.8431,0.7617,0.4166,0.8604,0.3878,0.9183,0.8235,0.8184
fold_7,0.8815,0.8782,0.8203,0.8882,0.8827,0.8083,0.8696,0.8634,0.7622,0.39,0.9663,0.2571,0.8418,0.9127,0.8331
fold_8,0.8746,0.8732,0.8151,0.9101,0.9144,0.8487,0.872,0.8709,0.7865,0.3347,0.9229,0.3256,0.9015,0.9366,0.8458
fold_9,0.8698,0.87,0.814,0.8267,0.8246,0.7485,0.9064,0.9112,0.8398,0.2484,0.9634,0.525,0.8967,0.9202,0.8939
fold_10,0.8584,0.854,0.7885,0.838,0.8364,0.7526,0.8025,0.7924,0.7092,0.5745,0.8723,0.271,0.8336,0.8604,0.7086
fold_11,0.8817,0.8841,0.8325,0.8694,0.8758,0.7796,0.8311,0.8363,0.7598,0.496,0.9271,0.4,0.8692,0.8024,0.8004
fold_12,0.9148,0.9122,0.8636,0.8739,0.8761,0.7867,0.8561,0.8573,0.7572,0.4017,0.8991,0.3529,0.8806,0.8134,0.8399
fold_13,0.8944,0.8934,0.8399,0.8878,0.8863,0.8101,0.8456,0.8525,0.743,0.4221,0.8757,0.5543,0.9117,0.5686,0.8046
fold_14,0.8801,0.8753,0.814,0.9192,0.9152,0.8329,0.8873,0.8807,0.7995,0.3031,0.9348,0.3593,0.9193,0.8945,0.8894
fold_15,0.8934,0.892,0.8378,0.8978,0.8918,0.8426,0.9166,0.9165,0.8395,0.2349,0.9747,0.5692,0.9358,0.8856,0.8324
fold_16,0.9299,0.927,0.8803,0.8063,0.7945,0.7248,0.8607,0.852,0.791,0.4123,0.9118,0.4173,0.9,0.956,0.7699
fold_17,0.9049,0.9036,0.8485,0.8324,0.8201,0.8019,0.7935,0.7817,0.7084,0.5919,0.8207,0.2913,0.8462,0.8865,0.6975
fold_18,0.8819,0.8805,0.8159,0.8842,0.8865,0.8467,0.821,0.8118,0.7895,0.4725,0.9211,0.5306,0.8615,0.8138,0.8205
fold_19,0.9029,0.8994,0.844,0.9049,0.9052,0.7947,0.8677,0.8691,0.8253,0.3276,0.9074,0.5512,0.8773,0.9062,0.8842
