fold_id,train_acc,train_f1_weighted,train_f1_macro,val_acc,val_f1_weighted,val_f1_macro,test_acc,test_f1_weighted,test_f1_macro,test_loss,test_F1_Wake,test_F1_N1,test_F1_N2,test_F1_N3,test_F1_REM
fold_0,0.8745,0.8759,0.8278,0.8655,0.8684,0.8133,0.8952,0.901,0.8012,0.3097,0.8936,0.3333,0.9238,0.95,0.9054
fold_1,0.9124,0.909,0.8534,0.8115,0.8092,0.7623,0.879,0.8773,0.8172,0.3384,0.9272,0.493,0.9299,0.917,0.8191
fold_2,0.9154,0.9101,0.8509,0.7629,0.7645,0.646,0.7869,0.7757,0.7136,0.5541,0.809,0.3792,0.8829,0.7407,0.756
fold_3,0.9227,0.9207,0.876,0.8569,0.8572,0.7902,0.7225,0.7275,0.6292,0.9331,0.7917,0.2326,0.7334,0.7574,0.6309
fold_4,0.9998,0.9998,0.9998,0.8697,0.8619,0.799,0.8332,0.8366,0.769,0.8599,0.9133,0.4098,0.8003,0.8885,0.8329
fold_5,0.9059,0.9029,0.8481,0.8337,0.8268,0.737,0.8373,0.8209,0.7347,0.4506,0.8648,0.246,0.9094,0.9071,0.7464
fold_6,0.8956,0.8947,0.8415,0.8638,0.8602,0.7668,0.8181,0.8127,0.7097,0.4538,0.8333,0.2901,0.9064,0.7347,0.784
fold_7,0.8769,0.8737,0.816,0.8816,0.8764,0.7993,0.8562,0.849,0.7401,0.4542,0.9616,0.2288,0.8227,0.8698,0.8177
fold_8,0.9261,0.9243,0.8814,0.9141,0.9175,0.8476,0.8572,0.8567,0.7794,0.4048,0.937,0.3502,0.8733,0.9205,0.8158
fold_9,0.9027,0.8949,0.8283,0.8342,0.8272,0.7285,0.9153,0.9154,0.8474,0.2408,0.9728,0.5568,0.8979,0.9165,0.8931
fold_10,0.8673,0.8661,0.8035,0.8328,0.8333,0.747,0.7797,0.7818,0.6947,0.6108,0.8467,0.3223,0.8485,0.7366,0.7194
fold_11,0.893,0.8884,0.8259,0.8769,0.8782,0.7549,0.832,0.8294,0.743,0.5,0.9255,0.3243,0.8659,0.8148,0.7845
fold_12,0.9349,0.932,0.8891,0.8584,0.8627,0.753,0.8549,0.8608,0.7623,0.3984,0.9375,0.3571,0.878,0.7681,0.8707
fold_13,0.9378,0.935,0.8914,0.8776,0.8731,0.7892,0.8147,0.8246,0.669,0.5316,0.8789,0.4321,0.8931,0.3605,0.7803
fold_14,0.9539,0.9534,0.9261,0.916,0.916,0.8409,0.876,0.8762,0.8001,0.3439,0.929,0.4201,0.9228,0.8659,0.8626
fold_15,0.9224,0.9233,0.8844,0.8994,0.8977,0.8497,0.9139,0.9143,0.837,0.2497,0.975,0.5745,0.9313,0.8762,0.8282
fold_16,0.9078,0.9063,0.8587,0.8169,0.8088,0.7432,0.88,0.8745,0.8211,0.319,0.9101,0.4863,0.9156,0.9564,0.8372
fold_17,0.9803,0.9797,0.9626,0.8176,0.802,0.7779,0.7627,0.7536,0.6794,0.9989,0.749,0.2588,0.8165,0.8725,0.7
fold_18,0.8782,0.8771,0.811,0.8872,0.8877,0.8442,0.8176,0.798,0.7746,0.504,0.9333,0.4129,0.857,0.8632,0.8065
fold_19,0.9061,0.905,0.8588,0.9049,0.9079,0.8032,0.8541,0.8588,0.8205,0.3627,0.9145,0.5638,0.8616,0.9006,0.8622
